cellName,snr,mad,eventRate,eventAmpMedian,eventAmpSD,riseMedian,riseSD,decayMedian,decaySD
neuron_1,31.08236,0.664904,0.002000176,51.6668,17.3138,0.2797892,0.0951472,0.55958,0.1548028
neuron_2,8.763,0.905588,0.0106676,19.83916,16.73732,0.1798644,0.463976,0.799396,1.230088
neuron_3,4.47812,1.021148,0.00733396,11.43204,21.03284,0.1199096,0.086064,0.47964,1.311552
neuron_4,4.58388,0.864708,0.003333624,9.90932,20.33944,0.0799396,0.1042288,0.799396,2.9609
neuron_5,7.2234,0.9508,0.01800156,17.17,8.82444,0.1598796,0.1296312,0.47964,0.2849232
neuron_6,7.95776,1.046828,0.01333448,20.826,8.92988,0.1598796,0.0644496,0.539592,0.2484892
neuron_7,7.31372,0.72866,0.00666724,13.32304,14.53436,0.0799396,0.0592848,0.459652,0.3243476
neuron_8,6.105,0.6055,0.01533468,9.24144,7.57552,0.1199096,0.0928068,0.439668,0.882728
neuron_9,7.56672,0.650496,0.00666724,12.30532,12.85472,0.1998492,0.126396,0.539592,0.499304
neuron_10,5.02352,1.443096,0.00866744,18.1236,10.46056,0.1598796,0.0783872,0.599548,1.445476
